,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,RATINGS,,,,,,,,,,,
Word,Category,trait_mean,state_mean,visc_mean,intensity_mean,valence_mean,,trait_z,state_z,diff,visc_z,intensity_z,valence_z
aloof ,trait,3.44,2.53,2,2.555556,2.315789,,0.00,-1.5,1.50,-0.93,-1.29,-0.40
ambitious ,trait,4.61,2.68,1.894737,3.444444,4.105263,,1.25,-1.25,2.50,-1.09,0.33,1.34
arrogant ,trait,4.53,3.00,2,3.368421,1.578947,,1.25,-0.75,2.00,-0.93,0.19,-1.12
brave ,trait,4.39,3.16,2.315789,3.388889,4.315789,,1.00,-0.5,1.50,-0.44,0.23,1.55
careless ,trait,4.11,2.84,2.105263,2.388889,1.947368,,0.75,-1,1.75,-0.77,-1.59,-0.76
cautious ,trait,4.05,2.95,2.421053,2.588235,3.052632,,0.75,-1,1.75,-0.28,-1.23,0.32
conceited ,trait,4.05,2.79,2,3.263158,1.684211,,0.75,-1.25,2.00,-0.93,0.00,-1.01
conscientious ,trait,4.58,2.53,2.210526,2.894737,3.789474,,1.25,-1.5,2.75,-0.61,-0.67,1.03
cunning ,trait,4.00,2.53,1.736842,3.473684,2.736842,,0.75,-1.5,2.25,-1.34,0.38,0.01
cynical ,trait,4.50,2.79,1.842105,3.111111,1.736842,,1.25,-1.25,2.50,-1.18,-0.28,-0.96
domineering ,trait,4.42,2.32,2.263158,3.894737,1.894737,,1.00,-2,3.00,-0.52,1.15,-0.81
funloving ,trait,4.61,2.84,2.368421,3.2,4.105263,,1.25,-1,2.25,-0.36,-0.12,1.34
humble ,trait,4.42,2.79,1.736842,2.444444,3.210526,,1.00,-1.25,2.25,-1.34,-1.49,0.47
idealistic ,trait,4.50,2.79,1.578947,3.473684,4.263158,,1.25,-1.25,2.50,-1.58,0.38,1.50
imaginative ,trait,4.44,2.89,1.842105,3.052632,4.263158,,1.00,-1,2.00,-1.18,-0.39,1.50
inquisitive ,trait,4.42,3.26,1.789474,3.277778,3.947368,,1.00,-0.5,1.50,-1.26,0.02,1.19
logical ,trait,4.53,2.16,1.368421,2.210526,3.736842,,1.25,-2,3.25,-1.91,-1.92,0.98
naive ,trait,4.33,2.68,1.578947,3.105263,2.315789,,1.00,-1.25,2.25,-1.58,-0.29,-0.40
neurotic ,trait,4.16,2.74,2.842105,4.055556,1.526316,,0.75,-1.25,2.00,0.37,1.44,-1.17
obedient ,trait,3.89,2.74,2.210526,3,3.157895,,0.50,-1.25,1.75,-0.61,-0.48,0.42
obsessive ,trait,4.16,2.68,2.578947,3.684211,2.105263,,0.75,-1.25,2.00,-0.03,0.76,-0.60
openminded ,trait,4.72,2.79,1.842105,2.588235,4.578947,,1.50,-1.25,2.75,-1.18,-1.23,1.80
patient ,trait,4.67,2.74,1.947368,2.473684,4.210526,,1.25,-1.25,2.50,-1.01,-1.44,1.44
perverted ,trait,3.42,2.58,2.421053,3.526316,1.421053,,0.00,-1.5,1.50,-0.28,0.48,-1.27
prejudiced ,trait,3.89,2.74,1.631579,3.157895,1.526316,,0.50,-1.25,1.75,-1.50,-0.19,-1.17
presumptuous ,trait,3.84,2.63,1.789474,3.105263,2,,0.50,-1.5,2.00,-1.26,-0.29,-0.71
rebellious ,trait,4.16,2.84,2.210526,3.947368,2.157895,,0.75,-1,1.75,-0.61,1.24,-0.55
selfrighteous ,trait,4.58,2.68,1.631579,3.157895,2.315789,,1.25,-1.25,2.50,-1.50,-0.19,-0.40
sentimental ,trait,4.37,3.26,2.368421,3.052632,3.631579,,1.00,-0.5,1.50,-0.36,-0.39,0.88
shy ,trait,4.56,3.16,2.473684,2.421053,2.473684,,1.25,-0.5,1.75,-0.20,-1.54,-0.25
sincere ,trait,4.37,2.79,2.052632,2.944444,4.315789,,1.00,-1.25,2.25,-0.85,-0.58,1.55
snobby ,trait,4.06,2.47,1.736842,3,1.842105,,0.75,-1.75,2.50,-1.34,-0.48,-0.86
stubborn ,trait,4.47,3.00,2.052632,3.315789,2,,1.25,-0.75,2.00,-0.85,0.09,-0.71
submissive ,trait,4.16,2.68,2.263158,3.157895,2.210526,,0.75,-1.25,2.00,-0.52,-0.19,-0.50
thoughtful ,trait,4.50,3.26,2.052632,2.894737,4,,1.25,-0.5,1.75,-0.85,-0.67,1.24
timid ,trait,4.05,3.05,2.263158,2.736842,2.210526,,0.75,-0.75,1.50,-0.52,-0.96,-0.50
truthful ,trait,4.39,2.68,1.736842,2.631579,4.315789,,1.00,-1.25,2.25,-1.34,-1.15,1.55
vain ,trait,4.28,2.37,2.315789,3.157895,1.684211,,1.00,-1.75,2.75,-0.44,-0.19,-1.01
visionary ,trait,4.05,2.37,2.157895,3.421053,4.210526,,0.75,-1.75,2.50,-0.69,0.28,1.44
withdrawn ,trait,4.11,2.84,2.526316,2.842105,2,,0.75,-1,1.75,-0.12,-0.77,-0.71
,,trait_mean,state_mean,visc_mean,intensity_mean,valence_mean,,trait_z,state_z,diff,visc_z,intensity_z,valence_z
agitated ,state,2.33,4.26,3.157895,3.421053,1.894737,,-1.00,1,-2.00,0.86,0.28,-0.81
amazed ,state,2.21,4.21,2.368421,3.842105,3.842105,,-1.00,1,-2.00,-0.36,1.05,1.09
amused ,state,2.00,4.00,2.421053,3.105263,4.210526,,-1.25,0.5,-1.75,-0.28,-0.29,1.44
annoyed ,state,2.11,4.32,2.526316,2.842105,1.894737,,-1.25,1,-2.25,-0.12,-0.77,-0.81
ashamed ,state,2.00,4.11,2.473684,3.388889,1.631579,,-1.25,0.75,-2.00,-0.20,0.23,-1.06
astonished ,state,2.00,4.37,3,4,3.263158,,-1.25,1.25,-2.50,0.62,1.34,0.52
awestruck ,state,2.11,4.21,3,4.368421,4.210526,,-1.25,1,-2.25,0.62,2.01,1.44
bewildered ,state,2.37,4.21,2.947368,3.444444,2.421053,,-0.75,1,-1.75,0.54,0.33,-0.30
bored ,state,2.16,4.21,2.578947,2.45,2.157895,,-1.00,1,-2.00,-0.03,-1.48,-0.55
confused ,state,2.74,4.58,2.210526,2.611111,2.210526,,-0.50,1.5,-2.00,-0.61,-1.19,-0.50
dazzled ,state,2.17,3.89,2.631579,3.833333,3.789474,,-1.00,0.5,-1.50,0.05,1.03,1.03
delighted ,state,2.22,4.42,2.526316,3.555556,4.315789,,-1.00,1.25,-2.25,-0.12,0.53,1.55
disappointed ,state,2.00,4.47,2.052632,3.277778,2,,-1.25,1.25,-2.50,-0.85,0.02,-0.71
discouraged ,state,2.39,4.05,2.421053,3.157895,1.736842,,-0.75,0.75,-1.50,-0.28,-0.19,-0.96
disgusted ,state,2.06,4.37,2.842105,3.526316,1.526316,,-1.25,1.25,-2.50,0.37,0.48,-1.17
displeased ,state,2.00,4.16,2.315789,2.722222,2,,-1.25,0.75,-2.00,-0.44,-0.99,-0.71
distracted ,state,2.33,4.05,2.473684,2.555556,2.263158,,-1.00,0.75,-1.75,-0.20,-1.29,-0.45
drowsy ,state,1.83,3.68,4,2.368421,2.315789,,-1.50,0,-1.50,2.17,-1.63,-0.40
embarassed ,state,2.11,4.58,3.157895,2.944444,1.947368,,-1.25,1.5,-2.75,0.86,-0.58,-0.76
entranced ,state,1.95,3.95,3.105263,3.631579,3.578947,,-1.25,0.5,-1.75,0.78,0.67,0.83
excited ,state,2.84,4.63,3.315789,3.421053,4.157895,,-0.25,1.5,-1.75,1.11,0.28,1.39
exhilarated ,state,2.28,4.05,3.631579,4.631579,4.368421,,-1.00,0.75,-1.75,1.60,2.49,1.60
fascinated ,state,2.63,4.42,2.263158,4.055556,4.210526,,-0.50,1.25,-1.75,-0.52,1.44,1.44
flustered ,state,2.26,4.26,3.210526,3.631579,2.210526,,-1.00,1,-2.00,0.94,0.67,-0.50
humiliated ,state,1.83,4.58,2.736842,3.947368,1.684211,,-1.50,1.5,-3.00,0.21,1.24,-1.01
hungry ,state,1.84,4.05,4.736842,2.684211,2.789474,,-1.50,0.75,-2.25,3.31,-1.06,0.06
hurt ,state,1.67,3.68,3.526316,2.947368,1.736842,,-1.50,0,-1.50,1.43,-0.58,-0.96
impressed ,state,2.28,4.11,2.052632,3.166667,4,,-1.00,0.75,-1.75,-0.85,-0.18,1.24
mad ,state,2.17,4.00,3.315789,3.263158,1.736842,,-1.00,0.5,-1.50,1.11,0.00,-0.96
offended ,state,1.79,4.16,2.631579,3.368421,1.842105,,-1.50,0.75,-2.25,0.05,0.19,-0.86
overjoyed ,state,2.37,4.47,3.315789,4.157895,4.578947,,-0.75,1.25,-2.00,1.11,1.62,1.80
pleased ,state,2.58,4.05,2.315789,2.789474,4.052632,,-0.75,0.75,-1.50,-0.44,-0.87,1.29
preoccupied ,state,2.05,3.95,2.263158,2.777778,2.315789,,-1.25,0.5,-1.75,-0.52,-0.89,-0.40
sleepy ,state,2.28,4.05,4.421053,2,2.526316,,-1.00,0.75,-1.75,2.82,-2.30,-0.19
startled ,state,1.95,3.95,3.105263,3.388889,2.421053,,-1.25,0.5,-1.75,0.78,0.23,-0.30
stunned ,state,2.11,4.21,3.105263,4.105263,2.842105,,-1.25,1,-2.25,0.78,1.53,0.11
surprised ,state,2.47,4.32,3.105263,3.578947,3.210526,,-0.75,1,-1.75,0.78,0.57,0.47
thirsty ,state,1.58,3.74,4.894737,2.473684,2.684211,,-1.75,0.25,-2.00,3.55,-1.44,-0.04
thrilled ,state,2.11,4.53,3.052632,4.166667,4.105263,,-1.25,1.5,-2.75,0.70,1.64,1.34
upset ,state,2.50,4.21,3.421053,2.947368,1.789474,,-0.75,1,-1.75,1.27,-0.58,-0.91
,,trait_mean,state_mean,visc_mean,intensity_mean,valence_mean,,trait_z,state_z,diff,visc_z,intensity_z,valence_z
bashful ,either,3.44,3.42,2.789474,2.631579,2.368421,,0.00,-0.25,0.25,0.29,-1.15,-0.35
blissful ,either,2.44,3.63,2.684211,3.833333,4.210526,,-0.75,0,-0.75,0.13,1.03,1.44
cheerful ,either,4.67,4.00,3.105263,3.055556,4.473684,,1.25,0.5,0.75,0.78,-0.38,1.70
contented ,either,3.53,3.79,2.631579,3,4.105263,,0.25,0.25,0.00,0.05,-0.48,1.34
cranky ,either,3.21,4.05,2.947368,3.157895,1.842105,,0.00,0.75,-0.75,0.54,-0.19,-0.86
depressed ,either,3.89,4.11,3,3.666667,1.473684,,0.50,0.75,-0.25,0.62,0.73,-1.22
determined ,either,4.22,3.89,2.368421,3.5,4.210526,,0.75,0.5,0.25,-0.36,0.43,1.44
emotional ,either,4.32,3.84,3.052632,3.526316,3.526316,,1.00,0.25,0.75,0.70,0.48,0.78
enthusiastic ,either,4.47,4.26,3.157895,3.722222,4.368421,,1.25,1,0.25,0.86,0.83,1.60
envious ,either,3.89,3.63,2.368421,3.611111,1.578947,,0.50,0,0.50,-0.36,0.63,-1.12
excitable ,either,3.58,3.58,3.157895,3.368421,3.842105,,0.25,0,0.25,0.86,0.19,1.09
fulfilled ,either,2.89,3.42,2.421053,3.315789,4.421053,,-0.25,-0.25,0.00,-0.28,0.09,1.65
gloomy ,either,3.37,3.63,2.789474,2.888889,1.684211,,0.00,0,0.00,0.29,-0.68,-1.01
grumpy ,either,3.50,3.89,2.684211,2.833333,1.684211,,0.00,0.5,-0.50,0.13,-0.79,-1.01
hateful ,either,3.56,3.37,2.263158,3.722222,1.263158,,0.25,-0.25,0.50,-0.52,0.83,-1.42
hopeful ,either,3.74,3.89,1.578947,2.842105,4.315789,,0.25,0.5,-0.25,-1.58,-0.77,1.55
hostile ,either,3.72,3.32,2.631579,4,1.421053,,0.25,-0.25,0.50,0.05,1.34,-1.27
inspired ,either,3.26,3.89,2.368421,3.611111,4.368421,,0.00,0.5,-0.50,-0.36,0.63,1.60
irritable ,either,3.72,3.79,2.947368,3.315789,1.736842,,0.25,0.25,0.00,0.54,0.09,-0.96
jealous ,either,3.79,3.79,1.684211,3.473684,1.789474,,0.50,0.25,0.25,-1.42,0.38,-0.91
lonely ,either,3.32,3.26,2.578947,2.894737,1.842105,,0.00,-0.5,0.50,-0.03,-0.67,-0.86
meditative ,either,3.47,3.26,3.315789,2.578947,3.789474,,0.00,-0.5,0.50,1.11,-1.25,1.03
motivated ,either,4.37,3.74,2.578947,3.368421,4.315789,,1.00,0.25,0.75,-0.03,0.19,1.55
nervous ,either,3.42,4.16,3.368421,3.111111,2,,0.00,0.75,-0.75,1.19,-0.28,-0.71
nostalgic ,either,3.06,3.84,2.421053,2.947368,3.263158,,-0.25,0.25,-0.50,-0.28,-0.58,0.52
perky ,either,3.67,3.84,3.105263,3.222222,3.578947,,0.25,0.25,0.00,0.78,-0.08,0.83
proud ,either,4.11,3.58,2.052632,2.944444,3.736842,,0.75,0,0.75,-0.85,-0.58,0.98
resentful ,either,3.56,3.53,2.263158,3.473684,1.789474,,0.25,0,0.25,-0.52,0.38,-0.91
satisfied ,either,3.53,4.05,2.684211,2.4,3.947368,,0.25,0.75,-0.50,0.13,-1.57,1.19
scornful ,either,3.26,3.05,2.315789,3.894737,1.526316,,0.00,-0.75,0.75,-0.44,1.15,-1.17
selfconscious ,either,4.32,3.79,2.894737,2.6,2.578947,,1.00,0.25,0.75,0.46,-1.21,-0.14
smitten ,either,3.11,3.89,3.052632,3.352941,3.473684,,0.00,0.5,-0.50,0.70,0.16,0.73
spiteful ,either,3.11,3.42,2.210526,3.611111,1.842105,,0.00,-0.25,0.25,-0.61,0.63,-0.86
squeamish ,either,3.42,3.47,3.631579,3.166667,2.210526,,0.00,0,0.00,1.60,-0.18,-0.50
suicidal ,either,3.16,3.58,3.157895,4.444444,1.105263,,0.00,0,0.00,0.86,2.15,-1.58
suspicious ,either,3.58,3.58,2.526316,2.947368,2.052632,,0.25,0,0.25,-0.12,-0.58,-0.65
sympathetic ,either,4.37,3.74,2.315789,2.777778,3.894737,,1.00,0.25,0.75,-0.44,-0.89,1.14
unhappy ,either,3.63,4.11,2.631579,2.941176,1.578947,,0.25,0.75,-0.50,0.05,-0.59,-1.12
vigilant ,either,3.39,3.32,2.263158,3.555556,3.473684,,0.00,-0.25,0.25,-0.52,0.53,0.73
watchful ,either,3.58,3.32,3,2.789474,3.210526,,0.25,-0.25,0.50,0.62,-0.87,0.47
,,,,,,,,,,,,,
agile,physical,,,,,,,,,,,,
angular,physical,,,,,,,,,,,,
short-legged,physical,,,,,,,,,,,,
dry-skinned,physical,,,,,,,,,,,,
athletic,physical,,,,,,,,,,,,
blemished,physical,,,,,,,,,,,,
bony,physical,,,,,,,,,,,,
broad-shouldered,physical,,,,,,,,,,,,
hairy,physical,,,,,,,,,,,,
chubby,physical,,,,,,,,,,,,
clean,physical,,,,,,,,,,,,
clean-cut,physical,,,,,,,,,,,,
clumsy,physical,,,,,,,,,,,,
flexible,physical,,,,,,,,,,,,
deep-voiced,physical,,,,,,,,,,,,
fat,physical,,,,,,,,,,,,
quick,physical,,,,,,,,,,,,
freckled,physical,,,,,,,,,,,,
light,physical,,,,,,,,,,,,
toned,physical,,,,,,,,,,,,
healthy,physical,,,,,,,,,,,,
large,physical,,,,,,,,,,,,
limber,physical,,,,,,,,,,,,
muscular,physical,,,,,,,,,,,,
nimble,physical,,,,,,,,,,,,
overweight,physical,,,,,,,,,,,,
pale,physical,,,,,,,,,,,,
tan,physical,,,,,,,,,,,,
allergic,physical,,,,,,,,,,,,
sweaty,physical,,,,,,,,,,,,
short,physical,,,,,,,,,,,,
sickly,physical,,,,,,,,,,,,
lean,physical,,,,,,,,,,,,
slender,physical,,,,,,,,,,,,
smelly,physical,,,,,,,,,,,,
sure-footed,physical,,,,,,,,,,,,
symmetrical,physical,,,,,,,,,,,,
tall,physical,,,,,,,,,,,,
thin,physical,,,,,,,,,,,,
heavy,physical,,,,,,,,,,,,